NM_015338
NM_000051
NM_001123385
NM_001165
NM_004333
NM_004343
NM_005188
NM_004364
NM_004380
NM_000760
NM_016222
NM_022552
NM_001429
NM_018638
NM_001987
NM_004456
NM_004119
NM_002049
NM_032638
NM_002074
NM_005343
NM_005896
NM_002168
NM_006060
NM_002227
NM_004972
NM_000222
NM_001197104
NM_170606
NM_005373
NM_002468
NM_001042492
NM_001136023
NM_017617
NM_002520
NM_002524
NM_016734
NM_001015877
NM_003620
NM_000314
NM_002834
NM_006265
NM_001754
NM_015559
NM_012433
NM_005475
NM_001195427
NM_001042750
NM_139276
NM_012448
NM_001127208
NM_000546
NM_006758
NM_024426
NM_005089
NM_001379451
NM_004985
NM_181552
NM_001913
NM_001349798
NM_080425
NM_016592
NM_014915
NM_000633
NM_000061
NM_003467
NM_002755
NM_002661
NM_003334
NM_014953
NM_017709
NM_002460
NM_032415
NM_006015
NM_001145785
NM_002015
NM_001664
